date,Brazil,China,EU27 & UK,France,Germany,India,Italy,Japan,ROW,Russia,Spain,UK,US
2019-01-21,0.131122,13.8188,4.16494,0.171128,1.22289,3.31944,0.412865,1.78695,10.4878,3.08752,0.206856,0.388857,5.49128
2019-01-22,0.14284,13.4122,4.158,0.177058,1.20206,3.29103,0.406075,1.85023,10.8509,3.18532,0.19662,0.4057,5.36698
2019-01-23,0.179477,13.4397,4.13723,0.178784,1.22638,3.43072,0.406338,1.83616,10.7951,3.28785,0.14526,0.467865,5.06734
2019-01-24,0.174975,12.9754,4.26851,0.184483,1.21994,3.37146,0.418503,1.85774,10.8155,3.30257,0.17773,0.475897,4.85986
2019-01-25,0.14601,12.1814,3.93329,0.175262,1.16676,3.31266,0.36104,1.88789,10.8155,3.30748,0.18716,0.287074,5.28582
2019-01-26,0.162702,11.4452,3.07329,0.130925,0.835163,3.08827,0.27185,1.79715,10.2583,3.27744,0.15441,0.157292,5.05045
2019-01-27,0.153841,11.0193,2.52224,0.065769,0.642226,3.08233,0.256354,1.65966,9.7241,3.20868,0.084711,0.1491,4.67285
2019-01-28,0.168778,11.2034,3.47777,0.138759,0.980468,3.25066,0.326689,1.92227,10.2695,3.29067,0.134543,0.314098,4.7363
2019-01-29,0.196294,10.5441,3.86698,0.160395,1.11281,3.32682,0.379292,1.88121,10.8024,3.23671,0.165512,0.386403,5.47789
2019-01-30,0.19921,9.93966,3.9383,0.164058,1.08514,3.40543,0.386843,1.86788,10.8322,3.14818,0.17135,0.429167,6.01128
2019-01-31,0.213538,9.62373,3.86992,0.169257,1.17099,3.38456,0.344874,1.96303,10.8786,3.1286,0.124853,0.402734,6.07153
2019-02-01,0.218506,10.6834,3.60467,0.153376,1.06746,3.31499,0.325922,1.88278,10.569,3.14347,0.107494,0.37095,5.26431
2019-02-02,0.207246,10.6021,3.12761,0.126895,1.00673,3.30494,0.221605,1.64144,10.2279,3.14085,0.093157,0.28279,4.0621
2019-02-03,0.216707,10.28,2.86271,0.103898,0.88422,3.20394,0.191548,1.51887,9.79835,3.03415,0.107676,0.252323,3.53671
2019-02-04,0.23499,9.84858,3.49003,0.161951,0.93504,3.28528,0.320113,1.5781,10.2638,3.12319,0.195018,0.30485,3.97971
2019-02-05,0.256343,9.67662,3.59029,0.172942,1.06832,3.44706,0.306747,1.71691,10.5603,3.1583,0.164237,0.33117,4.39072
2019-02-06,0.245475,9.62972,3.51527,0.162607,1.06663,3.43289,0.285564,1.85991,10.9845,3.19471,0.165152,0.269099,4.42646
2019-02-07,0.224181,9.56406,3.21182,0.127614,0.806745,3.2964,0.329989,1.73333,11.1441,3.18836,0.196302,0.248552,4.36867
2019-02-08,0.204706,9.8392,2.83419,0.099379,0.607934,3.3517,0.334291,1.82851,10.8284,3.14952,0.17683,0.162203,4.7328
2019-02-09,0.195823,10.2832,2.10815,0.061023,0.314642,3.3555,0.241759,1.85323,10.0531,3.08457,0.122925,0.125593,4.71276
2019-02-10,0.197822,10.5927,1.99592,0.061316,0.319684,3.2836,0.186499,1.60024,9.73142,3.01218,0.08779,0.208675,4.7105
2019-02-11,0.216967,11.2024,2.89868,0.135149,0.586999,3.31087,0.260167,1.81155,10.2838,3.10191,0.176093,0.330737,4.69595
2019-02-12,0.221462,11.5181,3.32074,0.167693,0.979495,3.3517,0.266303,1.83096,10.5053,3.08041,0.206216,0.24778,4.44306
2019-02-13,0.262082,11.9434,3.23457,0.15046,0.973436,3.42406,0.271173,1.84325,10.3976,3.06267,0.21304,0.210944,4.26543
2019-02-14,0.284294,12.4561,3.37788,0.154371,1.05468,3.42269,0.279045,1.90673,10.4002,3.04141,0.174292,0.246188,4.12304
2019-02-15,0.296978,12.5968,3.25367,0.143337,0.984339,3.37105,0.28174,1.96592,10.6896,3.06767,0.187259,0.222121,4.11445
2019-02-16,0.286535,12.9251,2.51513,0.087143,0.733449,3.33266,0.220147,1.66375,10.2035,2.98318,0.132061,0.153616,4.309
2019-02-17,0.277857,12.9782,2.34201,0.054772,0.768047,3.29427,0.197998,1.49664,9.94661,2.83746,0.115633,0.103606,4.22964
2019-02-18,0.265079,13.3222,3.1278,0.119269,0.920482,3.33632,0.31253,1.67218,10.5931,2.94439,0.183541,0.178926,4.80115
2019-02-19,0.276493,14.1788,3.14058,0.137692,0.841307,3.48089,0.338799,1.81848,10.7108,2.93684,0.212585,0.216336,5.23878
2019-02-20,0.280606,15.123,3.20331,0.141171,0.93276,3.45103,0.342756,1.58549,10.5987,2.95953,0.20622,0.176855,4.86187
2019-02-21,0.259072,15.3231,3.26125,0.132421,0.958619,3.44919,0.335869,1.59926,10.648,2.96705,0.188837,0.207045,4.53044
2019-02-22,0.245949,15.0543,3.2408,0.135962,1.00335,3.4396,0.28349,1.61258,10.3725,2.92771,0.173912,0.198306,4.64094
2019-02-23,0.183174,15.0761,2.59381,0.069356,0.795691,3.43473,0.177144,1.41036,9.85279,2.91637,0.149417,0.148267,3.93433
2019-02-24,0.197773,14.9542,2.59862,0.072659,0.798658,3.34653,0.169998,1.33926,9.54576,2.807,0.140237,0.205811,3.86837
2019-02-25,0.243537,15.2231,3.19858,0.127676,0.941092,3.3891,0.267825,1.51436,10.3272,2.82668,0.169354,0.273856,4.41102
2019-02-26,0.256171,14.4477,3.23011,0.147238,0.954695,3.43168,0.272458,1.52973,10.626,2.80314,0.162979,0.284554,4.64266
2019-02-27,0.236621,15.0105,3.09701,0.133419,0.893441,3.40212,0.256065,1.66948,10.7428,2.8026,0.155679,0.293521,4.60475
2019-02-28,0.218244,14.7416,2.93382,0.07353,0.79616,3.38719,0.285192,1.74408,10.7857,2.82016,0.163414,0.317347,4.60411
2019-03-01,0.234223,13.0546,3.17151,0.103719,0.913124,3.48873,0.258929,1.54689,10.7298,2.82376,0.162661,0.302508,4.71978
2019-03-02,0.211384,13.2079,2.44646,0.056949,0.730498,3.40206,0.199056,1.38045,10.2991,2.8578,0.10544,0.147154,4.44223
2019-03-03,0.196079,12.8233,1.8253,0.047934,0.306718,3.29969,0.210132,1.44871,10.0362,2.83199,0.078662,0.155767,4.39909
2019-03-04,0.201211,12.7749,2.14947,0.049697,0.38505,3.41729,0.249298,1.66137,10.7364,2.89265,0.097045,0.178574,5.35151
2019-03-05,0.199347,12.0756,2.48661,0.06594,0.54185,3.5061,0.274488,1.49835,10.5934,2.86228,0.111945,0.235791,5.49549
2019-03-06,0.198341,12.0541,2.48742,0.054694,0.605102,3.51874,0.300751,1.61341,10.5073,2.86367,0.080542,0.187676,5.26078
2019-03-07,0.176628,11.9466,2.34612,0.049236,0.477452,3.60846,0.280011,1.62045,10.5452,2.85349,0.12361,0.163087,4.91581
2019-03-08,0.158567,12.0703,2.42681,0.058937,0.484555,3.58287,0.291224,1.53131,10.5111,2.74087,0.146013,0.214535,4.61292
2019-03-09,0.163968,12.3769,1.83866,0.047296,0.308538,3.55804,0.19738,1.33224,10.2307,2.73423,0.114141,0.128473,3.75248
2019-03-10,0.157074,12.2612,1.80426,0.04708,0.353455,3.5026,0.175034,1.2903,9.92415,2.7348,0.093333,0.149798,3.48794
2019-03-11,0.162901,12.1079,2.32152,0.06449,0.511334,3.60725,0.230448,1.43479,10.515,2.80314,0.13131,0.176821,4.22063
2019-03-12,0.175155,11.5458,2.419,0.061363,0.523973,3.64533,0.240377,1.42237,10.5738,2.77315,0.117978,0.192691,3.93781
2019-03-13,0.171832,11.5109,2.23844,0.049249,0.420092,3.64655,0.292527,1.44076,10.6261,2.80802,0.092106,0.163381,3.75169
2019-03-14,0.18434,11.648,2.34384,0.056526,0.460499,3.60268,0.27482,1.54171,10.5858,2.83209,0.124048,0.167798,3.56989
2019-03-15,0.175337,11.7529,2.27267,0.050119,0.432276,3.54083,0.269566,1.51451,10.1975,2.8097,0.135709,0.14713,3.65035
2019-03-16,0.142774,11.9116,1.83101,0.04691,0.303907,3.53809,0.195501,1.38911,9.66881,2.79795,0.101141,0.142921,3.76542
2019-03-17,0.15736,11.6453,1.65512,0.047136,0.282551,3.4636,0.212552,1.33501,9.5184,2.72565,0.077477,0.11229,3.82025
2019-03-18,0.194229,11.7314,2.52234,0.097478,0.540895,3.60801,0.26181,1.46064,9.89889,2.7587,0.106961,0.290628,4.24435
2019-03-19,0.188914,11.6937,3.0852,0.134962,0.896733,3.67199,0.319512,1.49991,10.2895,2.73056,0.096436,0.272564,4.05224
2019-03-20,0.196527,12.0918,2.94515,0.137156,0.856031,3.67458,0.290701,1.36476,10.4228,2.72819,0.114912,0.233328,4.06251
2019-03-21,0.1959,11.7852,2.91324,0.122082,0.86544,3.23708,0.258569,1.3341,10.2627,2.73276,0.134275,0.2576,4.07181
2019-03-22,0.202134,11.8928,2.89406,0.127336,0.883104,3.40251,0.25669,1.31625,10.3065,2.72299,0.139525,0.202984,3.71856
2019-03-23,0.203223,12.003,2.33422,0.061945,0.690247,3.55454,0.187252,1.38018,9.89288,2.68292,0.117274,0.206023,3.40607
2019-03-24,0.186871,11.8739,2.00264,0.049449,0.590285,3.54601,0.195506,1.26515,9.43636,2.63366,0.091933,0.123268,3.41642
2019-03-25,0.190296,11.96,2.31517,0.062281,0.603665,3.67138,0.233728,1.45926,10.2151,2.64175,0.08994,0.201258,3.87723
2019-03-26,0.196301,11.5646,2.62646,0.08064,0.761905,3.67123,0.255025,1.40465,10.6537,2.65692,0.075236,0.258192,3.85962
2019-03-27,0.158912,11.9223,2.88613,0.113284,0.83376,3.72911,0.268848,1.33604,10.6561,2.69129,0.097214,0.269398,3.54559
2019-03-28,0.160944,12.1241,2.92495,0.128694,0.848493,3.76704,0.23214,1.3825,10.5345,2.70426,0.125671,0.255011,3.4599
2019-03-29,0.164039,11.8578,2.68977,0.112536,0.747481,3.81213,0.227167,1.40871,10.3788,2.69286,0.135594,0.222451,3.50774
2019-03-30,0.170915,11.7045,2.17637,0.058372,0.570776,3.85859,0.182191,1.37743,9.98857,2.62993,0.129374,0.196109,3.10589
2019-03-31,0.160524,11.7153,1.93204,0.048248,0.483981,3.50031,0.190602,1.19656,9.45119,2.52978,0.14063,0.150695,3.47911
2019-04-01,0.146814,11.8999,2.58842,0.050633,0.664042,3.57732,0.286238,1.43042,10.1454,2.59942,0.18333,0.220881,3.94372
2019-04-02,0.178749,11.9719,2.64137,0.044538,0.704788,3.72884,0.307654,1.554,10.4211,2.62237,0.170462,0.283667,3.8764
2019-04-03,0.167248,11.5173,2.82593,0.088471,0.888727,3.78855,0.302041,1.53969,10.3278,2.64335,0.122295,0.261347,3.61046
2019-04-04,0.185573,11.692,2.86851,0.094747,0.913381,3.84263,0.286934,1.43192,10.3333,2.63603,0.145927,0.230345,3.71797
2019-04-05,0.201197,11.6282,2.80741,0.096185,0.894472,3.75413,0.27464,1.34216,10.3007,2.65128,0.136634,0.194604,3.69432
2019-04-06,0.167406,11.4065,2.28402,0.045018,0.70108,3.67784,0.223472,1.13193,9.88981,2.61427,0.091362,0.220229,3.28788
2019-04-07,0.146258,11.5811,2.12019,0.018467,0.648287,3.3907,0.20306,1.07578,9.42849,2.52059,0.094518,0.201141,3.12733
2019-04-08,0.139171,11.667,2.80454,0.074841,0.869667,3.69715,0.270325,1.29936,10.2684,2.58027,0.135949,0.248365,3.7211
2019-04-09,0.150335,11.922,2.72213,0.065705,0.846078,3.65388,0.27794,1.3714,10.4065,2.4895,0.115742,0.236031,3.54609
2019-04-10,0.186984,12.1937,2.80906,0.06668,0.834969,3.69423,0.263535,1.61275,10.5111,2.48626,0.138586,0.260552,3.31399
2019-04-11,0.188476,12.4903,2.96332,0.064395,0.875682,3.64001,0.299995,1.49234,10.5394,2.49982,0.150624,0.290963,3.41165
2019-04-12,0.184356,12.2048,2.98654,0.09695,0.87087,3.75926,0.287504,1.49244,10.5642,2.44814,0.152675,0.267779,3.50333
2019-04-13,0.14479,12.3018,2.44085,0.045965,0.736765,3.7247,0.226076,1.20622,10.1625,2.43387,0.138209,0.164593,3.2392
2019-04-14,0.131891,12.1022,2.16282,0.04207,0.669621,3.60743,0.206964,1.1816,9.66888,2.37541,0.120898,0.144693,3.21989
2019-04-15,0.13842,11.9636,2.48765,0.084049,0.705336,3.66788,0.243042,1.22828,10.2097,2.47045,0.125494,0.149344,3.32056
2019-04-16,0.144331,11.4065,2.68278,0.098293,0.680886,3.44151,0.27287,1.24665,10.3162,2.43785,0.158274,0.2275,3.37624
2019-04-17,0.153174,10.8299,2.62974,0.09011,0.709296,3.25085,0.269368,1.31845,10.4944,2.48364,0.103554,0.232005,3.26534
2019-04-18,0.167474,11.1431,2.34794,0.05777,0.547499,3.33906,0.242427,1.21889,10.3659,2.48157,0.124098,0.189855,3.27357
2019-04-19,0.153415,11.3316,1.98258,0.022549,0.412101,3.41811,0.211115,1.24811,9.19553,2.45484,0.090508,0.184251,3.23312
2019-04-20,0.154136,10.8909,1.75287,0.016944,0.416279,3.48559,0.165004,1.05714,8.98674,2.45713,0.076277,0.1966,2.78786
2019-04-21,0.129481,11.4397,1.55287,0.016475,0.36181,3.38412,0.148247,1.02122,9.18078,2.31823,0.087562,0.14761,2.55987
2019-04-22,0.134019,11.0849,1.47707,0.016208,0.256773,3.56966,0.152435,1.16708,9.7555,2.40065,0.124953,0.131689,3.17532
2019-04-23,0.135778,11.2762,1.79867,0.018221,0.314962,3.59159,0.242534,1.25211,10.6004,2.30545,0.106617,0.176594,3.50437
2019-04-24,0.138748,11.2069,1.91823,0.016899,0.407899,3.67812,0.24004,1.34156,10.802,2.25512,0.080635,0.195011,3.71921
2019-04-25,0.138033,11.4979,2.01156,0.016965,0.502576,3.81141,0.180091,1.27506,10.4569,2.23095,0.079969,0.192327,3.56246
2019-04-26,0.138579,11.3039,2.1254,0.036193,0.582081,3.81352,0.190568,1.25835,10.2791,2.18693,0.111326,0.148043,3.32542
2019-04-27,0.142777,11.3954,1.67487,0.015846,0.471878,3.80456,0.135078,1.07265,9.84671,2.12991,0.106127,0.10627,2.97258
2019-04-28,0.148127,10.9768,1.78745,0.019774,0.548948,3.64662,0.141589,0.948789,9.60038,2.01875,0.096251,0.179853,3.05609
2019-04-29,0.179723,11.1237,2.4427,0.062645,0.711564,3.75473,0.221561,1.01724,10.3488,2.18148,0.153136,0.255314,3.58668
2019-04-30,0.186423,10.7578,2.45542,0.069589,0.6954,3.62252,0.233646,1.06123,10.268,2.13814,0.148072,0.245801,3.81367
2019-05-01,0.146437,10.5313,1.82071,0.015922,0.417864,3.5012,0.167762,0.97301,10.0636,2.05691,0.095927,0.269138,3.92001
2019-05-02,0.145093,9.77825,2.06354,0.045796,0.531096,3.3808,0.235246,0.837902,10.5953,2.08652,0.10707,0.231708,3.89116
2019-05-03,0.14052,9.93171,2.20405,0.063307,0.603844,3.28564,0.247656,0.811519,10.8016,2.12642,0.119675,0.217857,3.91382
2019-05-04,0.1134,10.4603,1.81723,0.020292,0.52565,3.32379,0.206956,0.813153,10.4616,2.09268,0.096176,0.100293,3.68579
2019-05-05,0.114073,10.6478,1.70522,0.019046,0.476572,3.37965,0.150181,0.823792,9.97389,2.03188,0.084649,0.15285,3.32991
2019-05-06,0.13219,10.5455,2.45444,0.070306,0.724872,3.59311,0.191222,0.967603,10.7086,2.04798,0.147737,0.220145,3.69463
2019-05-07,0.147311,11.0286,2.68866,0.073305,0.847666,3.58833,0.218872,1.08359,10.843,2.01511,0.139535,0.273431,3.78035
2019-05-08,0.159231,10.8126,2.33023,0.031147,0.755355,3.6113,0.254189,1.13441,10.6611,1.97246,0.083527,0.191963,3.68256
2019-05-09,0.139078,10.7615,2.50533,0.065305,0.745117,3.66389,0.232257,1.21633,10.9049,1.82595,0.112572,0.255269,3.71459
2019-05-10,0.130531,10.6222,2.62813,0.076497,0.793547,3.73457,0.234127,1.1511,10.9027,1.82235,0.120658,0.270555,3.87301
2019-05-11,0.101819,10.4233,2.04022,0.018141,0.586718,3.68714,0.172985,1.05467,10.5769,1.79273,0.115964,0.191823,3.42738
2019-05-12,0.10064,10.2613,1.60876,0.015884,0.368439,3.58037,0.15661,0.983205,10.2157,1.72954,0.081704,0.179532,3.32821
2019-05-13,0.113353,10.375,2.31812,0.05071,0.610656,3.61488,0.24722,1.17313,10.7671,1.85382,0.119685,0.213262,3.72387
2019-05-14,0.145114,11.0797,2.45277,0.064541,0.655582,3.62152,0.225233,1.3169,11.0412,1.88142,0.150515,0.223258,3.75984
2019-05-15,0.162683,10.6762,2.55235,0.061171,0.703935,3.62817,0.248922,1.23238,11.0554,1.8924,0.149867,0.210312,3.82835
2019-05-16,0.169568,11.2332,2.51838,0.067894,0.738496,3.70906,0.234852,1.22375,11.1891,1.90302,0.137355,0.164313,3.69657
2019-05-17,0.145483,11.4094,2.45172,0.067546,0.717067,3.64157,0.231677,1.22163,10.9752,1.93184,0.102024,0.196958,3.6725
2019-05-18,0.138916,11.3724,2.00774,0.025136,0.625543,3.5496,0.178788,1.12413,10.38,1.85274,0.117033,0.191228,3.5749
2019-05-19,0.141538,10.7501,1.87928,0.013905,0.5705,3.56404,0.155095,1.01531,9.9525,1.77194,0.12257,0.187653,3.61494
2019-05-20,0.147088,10.9036,2.4888,0.057331,0.753512,3.76065,0.192264,1.24024,10.7052,1.88505,0.165762,0.235114,3.98562
2019-05-21,0.147287,11.0911,2.47211,0.059935,0.699444,3.8781,0.182971,1.25201,10.9174,1.87927,0.171426,0.22752,3.78671
2019-05-22,0.141997,10.9377,2.43442,0.061713,0.683196,3.86582,0.190627,1.13412,10.9414,1.89879,0.184027,0.184044,3.99894
2019-05-23,0.146402,11.0258,2.41589,0.061406,0.669692,3.83696,0.197054,1.15096,11.0837,1.89651,0.17591,0.17245,4.18525
2019-05-24,0.150899,10.699,2.24607,0.062003,0.601826,3.68826,0.202461,1.18164,11.001,1.89103,0.135351,0.175272,4.22545
2019-05-25,0.132125,10.5682,1.79984,0.043055,0.475882,3.68002,0.156164,1.08018,10.2736,1.83389,0.105985,0.151131,3.85006
2019-05-26,0.125195,10.3295,1.33964,0.014359,0.329889,3.56039,0.129498,1.0642,9.95633,1.79723,0.102558,0.059254,3.91875
2019-05-27,0.129398,10.5711,2.04112,0.03657,0.530494,3.78041,0.178187,1.3235,10.8248,1.88066,0.146138,0.119107,3.8501
2019-05-28,0.129268,10.3267,2.26619,0.052432,0.622619,3.87071,0.177336,1.39882,11.0909,1.8181,0.139067,0.200864,4.43089
2019-05-29,0.129047,10.196,2.17538,0.055659,0.595885,3.94279,0.170027,1.24177,11.05,1.80136,0.140409,0.189589,4.65599
2019-05-30,0.129154,10.2073,1.81753,0.014332,0.347502,3.95526,0.191429,1.18796,11.3031,1.78622,0.163812,0.114609,4.68093
2019-05-31,0.134017,10.2102,1.99552,0.033034,0.449758,3.83728,0.165755,1.30369,11.4639,1.79241,0.169233,0.128385,4.60097
2019-06-01,0.106861,10.3407,1.73714,0.018031,0.378999,3.71949,0.121801,1.08273,10.767,1.70619,0.155472,0.140917,4.20522
2019-06-02,0.10565,10.3148,1.46793,0.015272,0.32605,3.60716,0.125853,1.08189,10.4373,1.69353,0.149179,0.076301,4.12429
2019-06-03,0.111972,10.2287,2.22701,0.057384,0.589044,3.50762,0.172076,1.23911,10.9047,1.74264,0.189344,0.145508,4.30576
2019-06-04,0.108985,10.6335,2.44959,0.065053,0.645995,3.63973,0.207501,1.33677,11.1729,1.72597,0.175908,0.241597,4.36013
2019-06-05,0.106106,11.1014,2.35061,0.062005,0.588059,3.73821,0.211407,1.36901,11.1243,1.71016,0.162755,0.217799,4.77987
2019-06-06,0.108994,11.2249,2.19767,0.044313,0.538338,3.83669,0.202109,1.36629,11.1841,1.68423,0.140279,0.206111,4.85176
2019-06-07,0.109742,11.5952,2.13335,0.024251,0.497279,3.77472,0.200228,1.4378,11.1785,1.73598,0.146466,0.19116,4.56615
2019-06-08,0.108312,11.1617,1.515,0.012481,0.242962,3.70189,0.154413,1.17171,10.9404,1.61115,0.138369,0.128747,3.88994
2019-06-09,0.108566,11.4488,1.53288,0.01347,0.293237,3.74698,0.158231,1.06879,10.2519,1.56519,0.121294,0.177884,3.72962
2019-06-10,0.115321,12.0775,1.94755,0.020807,0.366523,3.68881,0.236409,1.29692,10.7049,1.7394,0.127591,0.238562,4.34955
2019-06-11,0.108986,12.7981,2.37227,0.070324,0.648049,3.73088,0.259816,1.25882,11.0294,1.74252,0.137744,0.185654,4.35752
2019-06-12,0.117208,12.6459,2.51686,0.071671,0.73044,3.5507,0.257099,1.25479,11.0649,1.68625,0.154059,0.196558,4.09998
2019-06-13,0.116116,12.6172,2.4067,0.054755,0.604684,3.45475,0.247325,1.24465,11.3059,1.71644,0.1518,0.204854,3.98481
2019-06-14,0.109241,12.3531,2.49122,0.062204,0.653242,3.67422,0.23022,1.32071,11.1838,1.70223,0.150832,0.216431,3.62648
2019-06-15,0.117534,12.8469,1.84371,0.014555,0.404276,3.54307,0.186685,1.17722,10.9673,1.68563,0.139806,0.162767,3.78165
2019-06-16,0.133354,12.534,1.71377,0.013225,0.42747,3.28027,0.156874,0.980312,10.5431,1.66572,0.134504,0.136799,4.05816
2019-06-17,0.137376,12.4708,2.44587,0.047834,0.720719,3.33662,0.262574,1.1318,10.8506,1.87239,0.182104,0.163505,4.81119
2019-06-18,0.13839,12.6775,2.60562,0.051945,0.741411,3.36407,0.296305,1.27457,11.3939,1.95792,0.141372,0.236175,4.94712
2019-06-19,0.123939,13.1828,2.71419,0.053828,0.726486,3.46758,0.30251,1.29904,11.4319,1.97557,0.176612,0.269075,5.03438
2019-06-20,0.117422,12.5828,2.39006,0.060286,0.615973,3.5454,0.290198,1.34695,11.6637,1.92241,0.168152,0.208877,4.82568
2019-06-21,0.131894,12.5885,2.4784,0.065765,0.597065,3.64508,0.310731,1.39759,11.4168,1.96841,0.166546,0.22979,4.46358
2019-06-22,0.14025,12.4364,1.93479,0.01552,0.450326,3.60948,0.215341,1.22131,11.0601,1.85702,0.146945,0.186788,4.14109
2019-06-23,0.139355,12.1665,1.57894,0.01232,0.344532,3.4573,0.162195,1.10187,10.9752,1.78258,0.11835,0.15287,4.18909
2019-06-24,0.160061,11.5924,2.34564,0.048412,0.509365,3.56877,0.255419,1.29643,11.5261,1.95991,0.167742,0.247658,4.78495
2019-06-25,0.170467,11.4718,2.643,0.064592,0.656088,3.65931,0.287047,1.31213,11.6184,1.95427,0.193244,0.256353,4.9859
2019-06-26,0.167978,11.6526,2.61408,0.058761,0.624383,3.6263,0.323497,1.401,11.5577,1.88327,0.16762,0.235996,5.1947
2019-06-27,0.16091,12.0201,2.45886,0.056775,0.531853,3.53655,0.361545,1.50396,11.0681,1.8514,0.174346,0.198105,5.31218
2019-06-28,0.155468,12.2067,2.52319,0.066349,0.586182,3.48873,0.353247,1.46936,10.9415,1.83352,0.198876,0.17655,5.40673
2019-06-29,0.1485,12.4823,1.99251,0.038564,0.424961,3.48067,0.236787,1.26903,10.4151,1.69992,0.177618,0.155324,5.24137
2019-06-30,0.143242,12.2211,1.55985,0.020683,0.304769,3.30891,0.213861,1.18284,9.95345,1.56988,0.151343,0.067715,5.05118
2019-07-01,0.199266,12.075,2.31161,0.056764,0.487927,3.36556,0.334059,1.37741,10.9223,1.64173,0.195523,0.12191,5.4517
2019-07-02,0.219423,11.8877,2.49762,0.067285,0.497002,3.42212,0.359192,1.40636,11.4151,1.6471,0.202622,0.20434,5.61336
2019-07-03,0.225173,12.5039,2.55661,0.049529,0.525557,3.46482,0.380035,1.42452,11.5073,1.66435,0.204667,0.231154,5.52187
2019-07-04,0.230159,12.0207,2.49327,0.051522,0.523598,3.36115,0.348486,1.41313,11.3187,1.66097,0.210675,0.19771,5.03635
2019-07-05,0.219663,11.6407,2.49905,0.063807,0.523669,3.23598,0.353599,1.37289,11.2192,1.63573,0.216699,0.202167,5.31045
2019-07-06,0.169583,11.1819,2.03658,0.026168,0.369537,3.11318,0.265291,1.16649,10.6142,1.57103,0.178615,0.183942,5.22957
2019-07-07,0.171419,11.0896,1.72068,0.016501,0.309614,2.89447,0.203282,1.0804,10.3252,1.52835,0.158325,0.187362,5.13046
2019-07-08,0.196371,11.3692,2.47075,0.057905,0.542784,3.06745,0.326463,1.32767,11.1255,1.62089,0.186044,0.251808,5.36973
2019-07-09,0.226562,11.9067,2.58321,0.066743,0.568048,3.02429,0.344723,1.38921,11.1195,1.64477,0.192176,0.252471,5.52408
2019-07-10,0.209897,12.4361,2.69212,0.074576,0.68516,3.05806,0.311142,1.36017,11.1282,1.60022,0.206679,0.24453,5.82472
2019-07-11,0.219854,12.3926,2.83198,0.076322,0.774516,3.02272,0.288723,1.38528,10.9792,1.61773,0.217093,0.260115,5.89345
2019-07-12,0.231789,12.4361,2.75593,0.074029,0.753201,3.21688,0.303354,1.36635,11.0527,1.59329,0.225039,0.190691,5.6227
